Name,Symbol,CIK,Year,Quarter,Sentiment,Q1,Q2,Q3,Q4
Rollins Inc.,ROL,0000084839,2018,QTR1,0.0,0.09389067654268479,0.1271168119778059,0.3009645848293907,0.14694526467589752
Rollins Inc.,ROL,0000084839,2017,QTR1,0.0,0.10868923198574221,0.21558675789705162,0.3777247528384484,0.38937003074510557
Rollins Inc.,ROL,0000084839,2016,QTR1,0.0,0.07193674628867086,0.15691704311358,0.1573122713796724,0.3351778826869778
Exxon Mobil Corp.,XOM,0000034088,2018,QTR1,1.0,-0.12254496434830453,-0.027049223278635237,-0.00011763067592684973,-0.19828296898031517
Exxon Mobil Corp.,XOM,0000034088,2017,QTR1,1.0,-0.09770048754593041,-0.1117834316310049,-0.09803054343214812,-0.07976675155336954
Exxon Mobil Corp.,XOM,0000034088,2016,QTR1,1.0,0.07913758489375922,0.210172979237232,0.12677510729267105,0.16524662023038483
Alphabet Inc. (Class A),GOOGL,0001652044,2018,QTR1,0.9995,-0.03360940319409045,0.0521612568894243,0.12473793571599501,-0.02472014628282737
Alphabet Inc. (Class A),GOOGL,0001652044,2017,QTR1,0.998,0.04924441225534504,0.1505797965862432,0.20508404467113794,0.3036967508850743
Alphabet Inc. (Class A),GOOGL,0001652044,2016,QTR1,0.9962,0.004556017541258228,-0.07362000021699533,0.05875381198481189,0.043466251000087164
Loews Corp.,L,0000060086,2018,QTR1,0.9996,-0.003207052502897101,-0.03227100882036926,0.0068149961264267755,-0.09981959517260719
Loews Corp.,L,0000060086,2017,QTR1,0.9998,-0.009110175809857401,-0.008262698799671564,0.013983047388641756,0.05995758412316565
Loews Corp.,L,0000060086,2016,QTR1,0.9995,0.012705123286011366,0.08761253256325863,0.0892007108382642,0.2395448211797493
Ross Stores,ROST,0000745732,2018,QTR2,-0.9629,0.11851661283866965,0.30790554130491143,0.09805992654555151,0.22871852446677554
Ross Stores,ROST,0000745732,2017,QTR1,0.9265,0.0039628430698330774,-0.12010365789985944,-0.01585125599531334,0.22313670558537724
Ross Stores,ROST,0000745732,2016,QTR1,0.9821,0.06492555937726907,0.042670585624449586,0.1826375632692847,0.20654772416503775
Hormel Foods Corp.,HRL,0000048465,2018,QTR4,-0.9919,0.10788808551600182,0.08600511790666499,0.1389312771111657,0.03155220617148147
Hormel Foods Corp.,HRL,0000048465,2017,QTR4,-0.6037,0.23433588445195963,0.1400375721387992,0.07518795779429466,0.16572678557439735
Hormel Foods Corp.,HRL,0000048465,2016,QTR4,-0.6037,-0.15509993122714716,-0.0849106063222489,-0.08964247542959969,-0.1033123083751456
Avery Dennison Corp,AVY,0000008818,2018,QTR1,0.9995,-0.08151798305928826,-0.11739282326442979,-0.06336446932674089,-0.23210579532579556
Avery Dennison Corp,AVY,0000008818,2017,QTR1,0.9994,0.14913029905181885,0.25990880404290473,0.40205299677268114,0.6375820018513301
Avery Dennison Corp,AVY,0000008818,2016,QTR1,0.9996,0.1782679691405955,0.22140521353172837,0.27107843048646174,0.14738562655747334
Raymond James Financial Inc.,RJF,0000720005,2018,QTR4,0.9998,,-0.19417363425239698,-0.12919637371575154,-0.08436207055529499
Raymond James Financial Inc.,RJF,0000720005,2017,QTR4,0.9998,0.08870490513653584,0.0561797732531395,0.05748078574729898,0.05677108514620555
Raymond James Financial Inc.,RJF,0000720005,2016,QTR4,0.9997,0.45321391702563263,0.19369288471843937,0.3141479190145604,0.3823884698981397
Consolidated Edison,ED,0001047862,2018,QTR1,0.0,-0.06748024965408483,-0.06700165531750901,-0.08841827264596491,-0.08494853216769183
Consolidated Edison,ED,0001047862,2017,QTR1,0.0,0.054733214165702426,0.09765045103369863,0.0957490603658897,0.1537416829700986
Consolidated Edison,ED,0001047862,2016,QTR1,0.0,0.18975156725411813,0.24906833129626138,0.1692546780685833,0.14409935651271288
General Dynamics,GD,0000040533,2018,QTR1,0.8245,0.101800527927145,-0.07022794875196292,0.021098287254440073,-0.22529800454559534
General Dynamics,GD,0000040533,2017,QTR1,0.8096,0.06697064807283093,0.12909666314759294,0.171729868377831,0.15958962945015043
General Dynamics,GD,0000040533,2016,QTR1,0.8896,-0.034541132902509264,0.023296817801971903,0.14029540170747712,0.26890566890840506
Diamondback Energy,FANG,0001539838,2018,QTR1,0.0,-0.010634975285903958,0.02885525609989137,0.05716300707687805,-0.28143571032808723
Diamondback Energy,FANG,0001539838,2017,QTR1,0.0,0.004552069934170788,-0.1398547451952179,-0.05123487569518004,0.22276029055690083
Diamondback Energy,FANG,0001539838,2016,QTR1,0.0,0.16744818624447078,0.379670219972603,0.4602934506766745,0.5286642962573151
Yum! Brands Inc,YUM,0001041061,2018,QTR1,0.0,0.04325978977090772,-0.04142153574291929,0.11409320296667524,0.12267159710064313
Yum! Brands Inc,YUM,0001041061,2017,QTR1,0.0,0.010916033086539656,0.16690402158777107,0.16453095517341398,0.29109320981462905
Yum! Brands Inc,YUM,0001041061,2016,QTR1,0.9987,0.13349954322652557,0.14831741876545368,0.25758202816828546,0.2199423066296231
Domino's Pizza,DPZ,0001286681,2018,QTR1,0.9983,0.2493847999804102,0.5094148376090701,0.576976484128215,0.3370599854709295
Domino's Pizza,DPZ,0001286681,2017,QTR1,0.9985,0.16380400569227227,0.33575396542067026,0.2537888500031942,0.19323065158863972
Domino's Pizza,DPZ,0001286681,2016,QTR1,-0.9933,0.20717748382254797,0.20278312592831105,0.3901858595326744,0.457841257889662
Flowserve Corporation,FLS,0000030625,2018,QTR1,0.9925,0.019529454848345562,-0.049411728802849275,0.2868234970990349,-0.11411761115579044
Flowserve Corporation,FLS,0000030625,2017,QTR1,0.9853,-0.012038363044151845,-0.052642279222928745,-0.1309936418856109,-0.14037946315119842
Flowserve Corporation,FLS,0000030625,2016,QTR1,0.9652,0.057129293543645154,0.07522018504324435,0.1482981101129981,0.14377531913471664
QUALCOMM Inc.,QCOM,0000804328,2018,QTR4,1.0,0.05550962622586564,-0.21611568810572113,-0.21446281022132918,0.0477961610693427
QUALCOMM Inc.,QCOM,0000804328,2017,QTR4,0.9999,0.38839624703796627,0.23400145190845523,0.068041609611037,0.08172701959282302
QUALCOMM Inc.,QCOM,0000804328,2016,QTR4,0.9999,-0.22753688450135867,-0.02846079041481575,-0.1455818859917678,-0.17717179677412243
Xcel Energy Inc,XEL,0000072903,2018,QTR1,0.0,-0.048734611255550786,-0.04455137015129129,-0.012549723312778482,0.030119192331030442
Xcel Energy Inc,XEL,0000072903,2017,QTR1,0.0,0.0942885753758187,0.12949291665543639,0.16494340076607616,0.18439197132985408
Xcel Energy Inc,XEL,0000072903,2016,QTR1,0.0,0.17142853784580314,0.25434167569496147,0.15238091065690695,0.1400560194158469
Occidental Petroleum,OXY,0000797468,2018,QTR1,0.0,-0.12192489677165663,0.13111647077714106,0.11070552095675357,-0.1826169440821508
Occidental Petroleum,OXY,0000797468,2017,QTR1,0.0,-0.12328762206424804,-0.17157877801522348,-0.11152619251390306,0.0192335282082281
Occidental Petroleum,OXY,0000797468,2016,QTR1,0.0,0.01685995975531207,0.12281069317387838,0.08358068205098035,0.05846760227800041
WEC Energy Group,WEC,0000783325,2018,QTR1,0.9999,-0.04667775637556759,-0.017028967224458125,0.015052539815940902,0.04926266775939747
WEC Energy Group,WEC,0000783325,2017,QTR1,0.9999,0.036587439361218,0.049410143729101685,0.07334581941736285,0.1357496734289223
WEC Energy Group,WEC,0000783325,2016,QTR1,0.9999,0.1704988318790357,0.2724084848025343,0.16679659828903537,0.14282934284183058
Arthur J. Gallagher & Co.,AJG,0000354190,2018,QTR1,0.9959,0.10551721700492322,0.05002413868342437,0.19736214627379467,0.16647898952795925
Arthur J. Gallagher & Co.,AJG,0000354190,2017,QTR1,0.9994,0.0823123870387048,0.09590348699392015,0.17821587403262495,0.21133225011707335
Arthur J. Gallagher & Co.,AJG,0000354190,2016,QTR1,0.9981,0.10646762930518716,0.18407954156069883,0.26542283498616315,0.2925372661279846
